Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,monotonic,amsl,local,relative,terrain,bottom_clearance
1654043857.5393436,0,1654043857,538304924,map,-15.203907012939453,30.150941848754883,-0.39900872111320496,-0.018173694610595703,-0.5108600854873657,0.11185136437416077
1654043857.588483,1,1654043857,588099183,map,-15.388869285583496,29.919950485229492,-0.6299999952316284,-0.1549483835697174,-0.7300000190734863,0.10000000149011612
1654043857.6894772,2,1654043857,689035368,map,-15.373014450073242,29.874059677124023,-0.6758896708488464,-0.20083805918693542,-0.7758896946907043,0.10000000149011612
1654043857.7887344,3,1654043857,788143646,map,-15.579115867614746,29.820159912109375,-0.729790449142456,-0.25473883748054504,-0.829790472984314,0.10000000149011612
1654043857.8892899,4,1654043857,888925831,map,-15.41000747680664,29.76860809326172,-0.7813419103622437,-0.014623641967773438,-0.8813419342041016,0.10000000149011612
1654043857.98827,5,1654043857,987913349,map,-15.452284812927246,29.718656539916992,-0.8312931656837463,-0.06457489728927612,-0.9312931895256042,0.10000000149011612
1654043858.090325,6,1654043858,89979535,map,-15.621393203735352,29.65762710571289,-0.8923233151435852,-0.125605046749115,-0.9923233389854431,0.10000000149011612
1654043858.1891909,7,1654043858,188879479,map,-15.642532348632812,29.603548049926758,-0.9464014172554016,-0.1796831488609314,-1.0464013814926147,0.10000000149011612
1654043858.2892895,8,1654043858,288875942,map,-15.66366958618164,29.553434371948242,-0.996515691280365,-0.22979742288589478,-1.0965156555175781,0.10000000149011612
1654043858.3881848,9,1654043858,387863238,map,-15.679524421691895,29.510892868041992,-1.0390563011169434,-0.27233803272247314,-1.1390563249588013,0.10000000149011612
1654043858.4903042,10,1654043858,489933108,map,-15.890910148620605,29.471378326416016,-1.0785712003707886,-0.31185293197631836,-1.1785712242126465,0.10000000149011612
1654043858.5900483,11,1654043858,589770423,map,-15.890910148620605,29.444934844970703,-1.105014681816101,-0.33829641342163086,-1.205014705657959,0.10000000149011612
1654043858.6890566,12,1654043858,688760942,map,-15.869771003723145,29.42084503173828,-1.1291042566299438,-0.36238598823547363,-1.2291042804718018,0.10000000149011612
1654043858.7901077,13,1654043858,789813701,map,-16.0124568939209,29.400291442871094,-1.1496589183807373,-0.3829406499862671,-1.2496589422225952,0.10000000149011612
1654043858.8891711,14,1654043858,888851441,map,-15.91204833984375,29.38519287109375,-1.1647576093673706,-0.3980393409729004,-1.2647576332092285,0.10000000149011612
1654043858.9889925,15,1654043858,988703590,map,-15.869771003723145,29.37630844116211,-1.1736403703689575,-0.4069221019744873,-1.2736403942108154,0.10000000149011612
1654043859.08914,16,1654043859,88790386,map,-15.954324722290039,29.367979049682617,-1.1819701194763184,-0.41525185108184814,-1.2819701433181763,0.10000000149011612
1654043859.18898,17,1654043859,188674719,map,-16.0124568939209,29.359458923339844,-1.1904898881912231,-0.42377161979675293,-1.290489912033081,0.10000000149011612
1654043859.2890146,18,1654043859,288705238,map,-16.20270347595215,29.345455169677734,-1.2044947147369385,-0.43777644634246826,-1.3044947385787964,0.10000000149011612
1654043859.3910558,19,1654043859,390733126,map,-16.18156623840332,29.334918975830078,-1.2150309085845947,-0.4483126401901245,-1.3150309324264526,0.10000000149011612
1654043859.4890451,20,1654043859,488717274,map,-15.996603012084961,29.327110290527344,-1.22283935546875,-0.4561210870742798,-1.322839379310608,0.10000000149011612
1654043859.5902946,21,1654043859,589855867,map,-16.033594131469727,29.318540573120117,-1.2314083576202393,-0.46469008922576904,-1.3314083814620972,0.10000000149011612
1654043859.6894224,22,1654043859,688889367,map,-15.996603012084961,29.308897018432617,-1.2410519123077393,-0.47433364391326904,-1.3410519361495972,0.10000000149011612
1654043859.788996,23,1654043859,788633663,map,-16.118148803710938,29.301042556762695,-1.248907446861267,-0.4821891784667969,-1.348907470703125,0.10000000149011612
1654043859.8881204,24,1654043859,887720515,map,-16.118148803710938,29.301969528198242,-1.2479809522628784,-0.4812626838684082,-1.3479809761047363,0.10000000149011612
1654043859.9889934,25,1654043859,988590607,map,-15.970179557800293,29.30514144897461,-1.2448077201843262,-0.47808945178985596,-1.344807744026184,0.10000000149011612
1654043860.0879858,26,1654043860,87600848,map,-16.1392879486084,29.307546615600586,-1.2424025535583496,-0.4756842851638794,-1.3424025774002075,0.10000000149011612
1654043860.1892078,27,1654043860,188669200,map,-16.20270347595215,29.309402465820312,-1.240547776222229,-0.4738295078277588,-1.3415124416351318,0.10096466541290283
1654043860.2889814,28,1654043860,288669218,map,-15.9754638671875,29.309795379638672,-1.2401546239852905,-0.4734363555908203,-1.3456265926361084,0.10547196865081787
1654043860.3899407,29,1654043860,389614422,map,-16.2661190032959,29.30976676940918,-1.240182876586914,-0.47346460819244385,-1.3435782194137573,0.10339534282684326
1654043860.4908185,30,1654043860,490474792,map,-16.09701156616211,29.31019401550293,-1.2397558689117432,-0.47303760051727295,-1.3421120643615723,0.1023561954498291
1654043860.5897992,31,1654043860,589464977,map,-16.054733276367188,29.31072425842285,-1.239224910736084,-0.47250664234161377,-1.341782808303833,0.10255789756774902
1654043860.6890073,32,1654043860,688594700,map,-16.16042709350586,29.310091018676758,-1.2398587465286255,-0.4731404781341553,-1.3465068340301514,0.10664808750152588
1654043860.7888622,33,1654043860,788466014,map,-16.1392879486084,29.30940818786621,-1.2405409812927246,-0.4738227128982544,-1.3458353281021118,0.10529434680938721
1654043860.8907337,34,1654043860,890401737,map,-16.033594131469727,29.308074951171875,-1.241875410079956,-0.47515714168548584,-1.350087285041809,0.10821187496185303
