Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pressure.data,temperature.data,depth.data
1654043857.9000676,2,1654043857,899105072,,102811.35208698001,27.91752082467079,0.15457875893796855
1654043858.0996351,3,1654043858,98953247,,102816.20378953178,27.921883841753004,0.15507498358717428
1654043858.299918,4,1654043858,299077033,,102816.75698697643,27.926709603071213,0.1551315637680456
1654043858.4994266,5,1654043858,498855113,,102815.75525643652,27.93051071643829,0.15502910831442673
1654043858.699574,6,1654043858,698909282,,102819.44570607063,27.931138726472856,0.15540656180741433
1654043858.8995056,7,1654043858,898939609,,102818.19236700838,27.9353364777565,0.15527837222244534
1654043859.0995011,8,1654043859,98926067,,102819.06501093804,27.934906786680223,0.15536762489679137
1654043859.299772,9,1654043859,299172163,,102817.42366033152,27.93646028518677,0.1551997500899063
1654043859.4998305,10,1654043859,498944759,,102826.47766174289,27.946078754663468,0.15612577938092875
1654043859.6998546,11,1654043859,699183464,,102825.8717304177,27.938212102651597,0.15606380566014166
1654043859.8993726,12,1654043859,898802757,,102827.7095533993,27.942376800775527,0.1562517753583284
1654043860.0993886,13,1654043860,98816871,,102822.68273249356,27.945153266191483,0.15573763987414393
1654043860.2994356,14,1654043860,298822641,,102826.64084383455,27.94346755504608,0.15614246939342022
1654043860.4993944,15,1654043860,498796939,,102823.01319271019,27.942740385532378,0.15577143883509115
1654043860.6994188,16,1654043860,698803424,,102822.67599555966,27.944921894073488,0.1557369508309426
1654043860.8992987,17,1654043860,898698568,,102821.18372784648,27.943996405601503,0.15558432399230301
1654043861.0993774,18,1654043861,98787546,,102822.09763607493,27.94416167140007,0.15567779711544516
1654043861.2994757,19,1654043861,298791885,,102823.2243120395,27.947731412649155,0.15579303179426565
1654043861.4993587,20,1654043861,498767852,,102820.80382186892,27.946971189975738,0.155545467795239
1654043861.6993601,21,1654043861,698770284,,102818.80748798688,27.947632253170013,0.15534128584679052
1654043861.8994122,22,1654043861,898778676,,102820.46451914252,27.95113588809967,0.1555107644360401
1654043862.0993812,23,1654043862,98857879,,102820.17353502008,27.949152698516844,0.15548100302908144
1654043862.2994225,24,1654043862,298813343,,102823.86921344542,27.951598632335664,0.15585899131476585
1654043862.4994323,25,1654043862,498811483,,102822.88668755419,27.950309559106827,0.15575850008297454
1654043862.6995013,26,1654043862,698871374,,102822.24355227842,27.951433366537096,0.15569272119954072
1654043862.8995063,27,1654043862,898824214,,102817.93588939158,27.953647928237913,0.1552521400876292
1654043863.0993662,28,1654043863,98774194,,102823.17892666534,27.951102834939956,0.1557883898482409
1654043863.299474,29,1654043863,298837900,,102821.13841473429,27.953945406675338,0.15557968943712136
1654043863.4993734,30,1654043863,498775005,,102821.2122808902,27.95668881893158,0.15558724435354837
1654043863.699399,31,1654043863,698810338,,102822.38644615153,27.954903948307038,0.15570733616434987
1654043863.8994668,32,1654043863,898790121,,102824.62831421237,27.953019918203353,0.15593663096966529
1654043864.0994658,33,1654043864,98809242,,102825.59001752517,27.954209831953047,0.15603499250027092
1654043864.299504,34,1654043864,298738241,,102820.72438560023,27.95615996837616,0.1555373431762743
1654043864.4994898,35,1654043864,498839378,,102824.4076780033,27.95715156316757,0.15591406463871701
1654043864.6997538,36,1654043864,698935508,,102818.93797310058,27.956226074695586,0.15535463166283744
1654043864.8994312,37,1654043864,898812532,,102822.50155855593,27.958242317438124,0.15571910968341493
1654043865.0995488,38,1654043865,98829507,,102817.71813867206,27.95500310778618,0.15522986888009885
1654043865.299454,39,1654043865,298814535,,102819.77238124535,27.95900254011154,0.15543997364011577
1654043865.4996505,40,1654043865,498857975,,102821.4641394025,27.962671440839767,0.1556130040534839
1654043865.7004395,41,1654043865,699441194,,102820.95877157833,27.958870327472688,0.1555613158123785
1654043865.900987,42,1654043865,900101661,,102822.66840223646,27.958837274312973,0.15573617419756472
1654043866.1007519,43,1654043866,99892139,,102824.02941335358,27.95853979587555,0.1558753763141309
1654043866.301438,44,1654043866,300606489,,102819.2003301513,27.958870327472688,0.15538146513708176
1654043866.5010085,45,1654043866,500044345,,102819.92300985561,27.955135320425033,0.15545537970190387
1654043866.7008207,46,1654043866,700125694,,102822.20618365222,27.960423825979234,0.1556888991941249
1654043866.9007525,47,1654043866,899889469,,102822.52933100714,27.95837453007698,0.15572195020686283
1654043867.10083,48,1654043867,99992990,,102819.07135383457,27.962043430805206,0.15536827363845995
1654043867.3014197,49,1654043867,300496339,,102821.62760647753,27.9598619222641,0.15562972321363455
1654043867.500576,50,1654043867,499877691,,102819.29584480665,27.960919623374938,0.15539123422861972
1654043867.701049,51,1654043867,700122117,,102824.34018956783,27.96161373972893,0.15590716202569307
1654043867.9010746,52,1654043867,900132656,,102823.2135565278,27.96462157726288,0.15579193173712838
1654043868.1011617,53,1654043868,100128650,,102817.90137716901,27.9598619222641,0.15524861023076858
1654043868.300839,54,1654043868,299995422,,102821.92510737485,27.962274802923204,0.15566015114626924
1654043868.5007558,55,1654043868,499989032,,102819.49676517624,27.962274802923204,0.15541178405393477
1654043868.7008922,56,1654043868,700054645,,102820.13130608905,27.96270449399948,0.1554766839191897
1654043868.90106,57,1654043868,900198698,,102817.91166617286,27.963299450874327,0.15524966257420345
1654043869.1010923,58,1654043869,100151062,,102820.40649893647,27.959828869104385,0.15550483021890957
1654043869.3011634,59,1654043869,300168752,,102819.70610502094,27.962274802923204,0.15543319501017008
1654043869.5008943,60,1654043869,499912500,,102820.62446088012,27.964852949380873,0.1555271230301184
1654043869.701165,61,1654043869,700160026,,102821.32107001869,27.96597675681114,0.15559837113771197
1654043869.9008026,62,1654043869,900150060,,102822.02251943655,27.962539228200914,0.15567011430160105
1654043870.1007977,63,1654043870,99989175,,102818.3987150562,27.96462157726288,0.15529947718231327
1654043870.3009608,64,1654043870,300089597,,102819.97056603117,27.962935866117476,0.1554602436741451
1654043870.5008965,65,1654043870,499959468,,102818.81654975604,27.965414853096007,0.15534221267055492
1654043870.700261,66,1654043870,699645280,,102818.34926824016,27.965183480978013,0.15529441983828085
1654043870.902383,67,1654043870,901542663,,102819.58194677393,27.96746414899826,0.1554204962962833
1654043871.0994217,68,1654043871,98823785,,102819.58300585562,27.96647255420685,0.15542060461752322
1654043871.2993975,69,1654043871,298805236,,102818.6614776373,27.96686919212341,0.15532635213357823
1654043871.4993837,70,1654043871,498772382,,102822.10730708858,27.968125212192536,0.1556787862517949
1654043871.6993532,71,1654043871,698772192,,102822.56912436598,27.96693529844284,0.15572602021019052
1654043871.8997517,72,1654043871,898844957,,102819.23056646163,27.969777870178223,0.15538455766023718
1654043872.099431,73,1654043872,98820209,,102818.4655963522,27.967331936359404,0.15530631769804726
1654043872.299473,74,1654043872,298815250,,102821.40583175322,27.971562740802764,0.15560704043710397
1654043872.4996688,75,1654043872,498945713,,102819.85944500529,27.96898459434509,0.1554488783871145
1654043872.6993656,76,1654043872,698812723,,102820.6433892267,27.96673697948456,0.15552905899219321
1654043872.8994634,77,1654043872,898837804,,102819.78831999049,27.970240614414216,0.15544160383037015
1654043873.0993817,78,1654043873,98790407,,102821.32882498931,27.97179411292076,0.1555991643041383
1654043873.299465,79,1654043873,298855066,,102818.202972828,27.971463581323622,0.1552794569693083
1654043873.4995308,80,1654043873,498680591,,102818.76894721674,27.970769464969635,0.15533734395630186
1654043873.7000902,81,1654043873,699340581,,102817.84067868139,27.970934730768203,0.15524240208313259
1654043873.8995228,82,1654043873,898851394,,102817.36858350941,27.96868711590767,0.15519411691754226
