Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1654043930.6978037,74,1654043930,697264806,,True,False,False,True,POSCTL,3
1654043931.6979544,75,1654043931,697168583,,True,False,False,True,POSCTL,3
1654043932.6969726,76,1654043932,695923083,,True,False,False,True,POSCTL,3
1654043933.6969466,77,1654043933,695971952,,True,False,False,True,POSCTL,3
1654043934.6964433,78,1654043934,695631100,,True,False,False,True,POSCTL,3
1654043935.6980634,79,1654043935,696522173,,True,False,False,True,POSCTL,3
1654043936.6968873,80,1654043936,696305821,,True,False,False,True,POSCTL,3
1654043937.698544,81,1654043937,698056135,,True,False,False,True,POSCTL,3
1654043938.6974432,82,1654043938,696908875,,True,False,False,True,POSCTL,3
1654043939.6981094,83,1654043939,697723838,,True,False,False,True,POSCTL,3
1654043940.6970377,84,1654043940,696558559,,True,False,False,True,POSCTL,3
1654043941.696096,85,1654043941,695554003,,True,False,False,True,POSCTL,3
1654043942.6968827,86,1654043942,696358058,,True,False,False,True,POSCTL,3
1654043943.6977186,87,1654043943,697186076,,True,False,False,True,POSCTL,3
1654043944.6965575,88,1654043944,695990279,,True,False,False,True,POSCTL,3
1654043945.6986854,89,1654043945,697812353,,True,False,False,True,POSCTL,3
1654043946.6973817,90,1654043946,696660741,,True,False,False,True,POSCTL,3
1654043947.6980217,91,1654043947,697509148,,True,False,False,True,POSCTL,3
1654043948.6968865,92,1654043948,696362129,,True,False,False,True,POSCTL,3
1654043949.6968427,93,1654043949,696304498,,True,False,False,True,POSCTL,3
1654043950.6967535,94,1654043950,695991776,,True,False,False,True,POSCTL,3
1654043951.696569,95,1654043951,695888312,,True,False,False,True,POSCTL,3
1654043952.6982157,96,1654043952,697680645,,True,False,False,True,POSCTL,3
1654043953.6963952,97,1654043953,695534015,,True,False,False,True,POSCTL,3
1654043954.6959593,98,1654043954,695322884,,True,False,False,True,POSCTL,3
1654043955.6969016,99,1654043955,696316458,,True,False,False,True,POSCTL,3
1654043956.697675,100,1654043956,697043587,,True,False,False,True,POSCTL,3
1654043957.6984694,101,1654043957,697881716,,True,False,False,True,POSCTL,3
1654043958.698737,102,1654043958,698103401,,True,False,False,True,POSCTL,3
1654043959.6981578,103,1654043959,697557307,,True,False,False,True,POSCTL,3
1654043960.698376,104,1654043960,697650233,,True,False,False,True,POSCTL,3
1654043961.6992266,105,1654043961,698180047,,True,False,False,True,POSCTL,3
1654043962.698662,106,1654043962,698040768,,True,False,False,True,POSCTL,3
1654043963.6978416,107,1654043963,696910860,,True,False,False,True,POSCTL,3
1654043964.6973515,108,1654043964,696765934,,True,False,False,True,POSCTL,3
1654043965.6981392,109,1654043965,697573915,,True,False,False,True,POSCTL,3
1654043966.6983097,110,1654043966,697426211,,True,False,False,True,POSCTL,3
1654043967.6991315,111,1654043967,698203710,,True,False,False,True,POSCTL,3
1654043968.6987567,112,1654043968,698108191,,True,False,False,True,POSCTL,3
1654043969.6977363,113,1654043969,696947227,,True,False,False,True,POSCTL,3
1654043970.6984844,114,1654043970,697827282,,True,False,False,True,POSCTL,3
1654043971.6962926,115,1654043971,695611485,,True,False,False,True,POSCTL,3
1654043972.6969807,116,1654043972,696449707,,True,False,False,True,POSCTL,3
1654043973.6989176,117,1654043973,698234762,,True,False,False,True,POSCTL,3
1654043974.6968043,118,1654043974,696232428,,True,False,False,True,POSCTL,3
1654043975.699195,119,1654043975,696576150,,True,False,False,True,POSCTL,3
1654043976.698418,120,1654043976,697858908,,True,False,False,True,POSCTL,3
1654043977.6963387,121,1654043977,695602945,,True,False,False,True,POSCTL,3
1654043978.698023,122,1654043978,697489537,,True,False,False,True,POSCTL,3
1654043979.699004,123,1654043979,698276703,,True,False,False,True,POSCTL,3
1654043980.6978407,124,1654043980,697202591,,True,False,False,True,POSCTL,3
1654043981.6986668,125,1654043981,697999553,,True,False,False,True,POSCTL,3
1654043982.696744,126,1654043982,695852682,,True,False,False,True,POSCTL,3
1654043983.6965733,127,1654043983,695654182,,True,False,False,True,POSCTL,3
1654043984.6993184,128,1654043984,698487515,,True,False,False,True,POSCTL,3
1654043985.6985357,129,1654043985,698024273,,True,False,False,True,POSCTL,3
1654043986.6988795,130,1654043986,696356662,,True,False,False,True,POSCTL,3
1654043987.6988363,131,1654043987,698100809,,True,False,False,True,POSCTL,3
1654043988.6975918,132,1654043988,695850216,,True,False,False,True,POSCTL,3
1654043989.6976054,133,1654043989,696660326,,True,False,False,True,POSCTL,3
1654043990.6981652,134,1654043990,697474974,,True,False,False,True,POSCTL,3
1654043991.698672,135,1654043991,698311881,,True,False,False,True,POSCTL,3
1654043992.6965542,136,1654043992,696169306,,True,False,False,True,POSCTL,3
1654043993.6967914,137,1654043993,696074009,,True,False,False,True,POSCTL,3
1654043994.698797,138,1654043994,696033286,,True,False,False,True,POSCTL,3
1654043995.6965706,139,1654043995,695842823,,True,False,False,True,POSCTL,3
1654043996.6982746,140,1654043996,697535285,,True,False,False,True,POSCTL,3
1654043997.69839,141,1654043997,697465192,,True,False,False,True,POSCTL,3
1654043998.6968195,142,1654043998,696275599,,True,False,False,True,POSCTL,3
