Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,geo.latitude,geo.longitude,geo.altitude,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w,approach.x,approach.y,approach.z
1654043858.8541253,0,1654043858,853783497,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043860.854694,1,1654043860,854382477,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043862.852399,2,1654043862,852082847,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043864.8530805,3,1654043864,852756845,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043866.8548813,4,1654043866,854460215,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043868.8546722,5,1654043868,854168787,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043870.852155,6,1654043870,851825342,,33.7531023,-80.6446276,-3.208192709060917,33.519290924072266,-5.173783779144287,-0.7667182683944702,0.7994235628275816,0.6007678273396361,4.895057536898853e-17,3.678641983910976e-17,0.0,0.0,-0.0
1654043872.853829,7,1654043872,853476174,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043874.8525033,8,1654043874,852167284,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043876.8535354,9,1654043876,853093134,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043878.8548577,10,1654043878,854507911,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043880.8525877,11,1654043880,852223614,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043882.8537598,12,1654043882,852999298,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043884.8537045,13,1654043884,852921130,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043886.8527749,14,1654043886,852390314,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043888.8545442,15,1654043888,853909794,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043890.8560517,16,1654043890,855432052,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043892.8535233,17,1654043892,853227995,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043894.854239,18,1654043894,853946920,,33.753101,-80.644623,-3.883197146301139,33.94560623168945,-5.322357177734375,-1.4413509368896484,0.7901342920486593,0.612933789116821,4.838177158269751e-17,3.7531370146558686e-17,0.0,0.0,-0.0
1654043896.8569422,19,1654043896,856653234,,33.7531043,-80.6446202,-4.0211973051770045,34.204532623291016,-4.948432922363281,-1.5796277523040771,0.7860646186982275,0.6181442933627453,4.8132575960588446e-17,3.785042151389444e-17,0.0,0.0,-0.0
1654043898.8525786,20,1654043898,852269547,,33.7531043,-80.6446202,-4.0211973051770045,34.204532623291016,-4.948432922363281,-1.5796277523040771,0.7860646186982275,0.6181442933627453,4.8132575960588446e-17,3.785042151389444e-17,0.0,0.0,-0.0
1654043900.8543017,21,1654043900,853952361,,33.7531043,-80.6446202,-4.0211973051770045,34.204532623291016,-4.948432922363281,-1.5796277523040771,0.7860646186982275,0.6181442933627453,4.8132575960588446e-17,3.785042151389444e-17,0.0,0.0,-0.0
