Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1654043857.7017043,0,1654043857,701262313,,25.106000900268555,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,0,True,,
1654043857.900381,1,1654043857,900002109,,25.10700035095215,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,0,True,,
1654043858.1022854,2,1654043858,101916294,,25.107999801635742,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,0,True,,
1654043858.30031,3,1654043858,299934312,,25.110000610351562,0.0,-0.09000000357627869,nan,nan,nan,1.0,2,0,0,True,,
1654043858.5021794,4,1654043858,501903571,,25.110000610351562,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,0,True,,
1654043858.7032497,5,1654043858,702321942,,25.110000610351562,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,0,True,,
1654043858.8141363,6,1654043858,813815923,,25.110000610351562,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043860.8177307,7,1654043860,817461626,,25.113000869750977,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043862.8135085,8,1654043862,813169402,,25.11199951171875,0.0,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043864.816157,9,1654043864,815803549,,25.11400032043457,0.0,-0.05000000074505806,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043866.8168638,10,1654043866,816512270,,25.115999221801758,0.0,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,id0,
1654043868.81658,11,1654043868,816209306,,25.118999481201172,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,4.185999870300293,id0,
1654043870.813213,12,1654043870,812868212,,25.114999771118164,0.0,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043872.813887,13,1654043872,813562007,,25.11400032043457,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043874.813499,14,1654043874,813171525,,25.113000869750977,0.0,-0.09000000357627869,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043876.8142805,15,1654043876,813911912,,25.113000869750977,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043878.8168008,16,1654043878,816527115,,25.111000061035156,0.0,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043880.8136575,17,1654043880,813250280,,25.114999771118164,0.0,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043882.8135703,18,1654043882,813020649,,25.11199951171875,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
1654043884.8139677,19,1654043884,813590019,,25.110000610351562,0.0,-0.05000000074505806,nan,nan,nan,1.0,2,0,3,True,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,id0,
1654043886.8135726,20,1654043886,813245943,,25.10700035095215,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,id0,
1654043888.817241,21,1654043888,816918646,,25.10700035095215,0.0,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,id0,
1654043890.8170645,22,1654043890,816687126,,25.107999801635742,0.0,-0.07999999821186066,nan,nan,nan,1.0,2,0,3,True,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,id0,
1654043892.8145752,23,1654043892,814253699,,25.108999252319336,0.0,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,4.184000015258789,id0,
1654043894.8142662,24,1654043894,813953753,,25.108999252319336,0.0,-0.05000000074505806,nan,nan,nan,1.0,2,0,3,True,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,4.184999942779541,id0,
